# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      20 9.560e-07 1.073e-06 1.013e-06 2.858e-08
      25 1.124e-06 1.270e-06 1.201e-06 3.567e-08
      32 1.410e-06 1.580e-06 1.492e-06 4.097e-08
      40 1.727e-06 1.925e-06 1.828e-06 4.711e-08
      50 2.168e-06 2.403e-06 2.279e-06 5.379e-08
      63 2.753e-06 3.015e-06 2.885e-06 6.377e-08
      79 3.518e-06 3.838e-06 3.673e-06 7.701e-08
     100 4.588e-06 4.964e-06 4.762e-06 9.158e-08
     126 5.971e-06 6.401e-06 6.179e-06 1.011e-07
     158 7.740e-06 8.199e-06 7.970e-06 1.119e-07
     200 1.020e-05 1.084e-05 1.049e-05 1.431e-07
     251 1.329e-05 1.395e-05 1.362e-05 1.576e-07
     316 1.725e-05 1.805e-05 1.762e-05 1.812e-07
     398 2.252e-05 2.347e-05 2.297e-05 2.155e-07
     501 2.952e-05 3.054e-05 3.002e-05 2.364e-07
     631 3.838e-05 3.967e-05 3.895e-05 2.779e-07
     794 4.998e-05 5.151e-05 5.064e-05 3.332e-07
    1000 6.525e-05 6.698e-05 6.596e-05 3.702e-07
    1259 8.456e-05 8.660e-05 8.537e-05 4.336e-07
    1585 1.095e-04 1.122e-04 1.106e-04 5.189e-07
    1995 1.424e-04 1.450e-04 1.435e-04 5.957e-07
    2512 1.841e-04 1.871e-04 1.853e-04 6.725e-07
    3162 2.382e-04 2.417e-04 2.396e-04 7.864e-07
    3981 3.086e-04 3.126e-04 3.102e-04 8.926e-07
    5012 3.982e-04 4.028e-04 4.002e-04 1.045e-06
    6310 5.144e-04 5.198e-04 5.168e-04 1.217e-06
    7943 6.652e-04 6.716e-04 6.681e-04 1.444e-06
   10000 8.596e-04 8.663e-04 8.627e-04 1.618e-06
   12589 1.112e-03 1.119e-03 1.115e-03 1.819e-06
   15849 1.439e-03 1.448e-03 1.443e-03 2.057e-06
   19953 1.858e-03 1.873e-03 1.863e-03 2.800e-06
